bydel,grunnkrets,east_west
ward030108,grunnkrets03014608,west
ward030108,grunnkrets03014609,west
ward030108,grunnkrets03014610,west
ward030108,grunnkrets03011709,west
ward030108,grunnkrets03014505,west
ward030108,grunnkrets03014506,west
ward030108,grunnkrets03014510,west
ward030108,grunnkrets03014605,west
ward030108,grunnkrets03014606,west
ward030109,grunnkrets03014112,east
ward030109,grunnkrets03014113,east
ward030109,grunnkrets03014120,east
ward030109,grunnkrets03014121,east
ward030109,grunnkrets03014122,east
ward030109,grunnkrets03014109,east
ward030109,grunnkrets03014125,east
ward030109,grunnkrets03014126,east
ward030109,grunnkrets03014111,east
ward030109,grunnkrets03014119,east
ward030109,grunnkrets03014105,east
ward030109,grunnkrets03014123,east
ward030109,grunnkrets03014124,east
ward030109,grunnkrets03014115,east
ward030109,grunnkrets03014301,east
ward030109,grunnkrets03014107,east
ward030109,grunnkrets03014108,east
ward030109,grunnkrets03014209,east
ward030109,grunnkrets03014307,east
ward030109,grunnkrets03014101,east
ward030109,grunnkrets03014102,east
ward030109,grunnkrets03014103,east
ward030109,grunnkrets03014104,east
ward030109,grunnkrets03014116,east
ward030109,grunnkrets03014118,east
ward030110,grunnkrets03014002,east
ward030110,grunnkrets03014003,east
ward030110,grunnkrets03014015,east
ward030110,grunnkrets03014016,east
ward030110,grunnkrets03014001,east
ward030110,grunnkrets03014014,east
ward030110,grunnkrets03014114,east
ward030110,grunnkrets03014004,east
ward030110,grunnkrets03014005,east
ward030110,grunnkrets03014006,east
ward030110,grunnkrets03014017,east
ward030110,grunnkrets03014018,east
ward030110,grunnkrets03014007,east
ward030110,grunnkrets03014009,east
ward030110,grunnkrets03014011,east
ward030110,grunnkrets03013901,east
ward030110,grunnkrets03013905,east
ward030110,grunnkrets03014010,east
ward030110,grunnkrets03014012,east
ward030110,grunnkrets03014013,east
ward030111,grunnkrets03013902,east
ward030111,grunnkrets03013904,east
ward030111,grunnkrets03013916,east
ward030111,grunnkrets03013918,east
ward030111,grunnkrets03013919,east
ward030111,grunnkrets03013920,east
ward030111,grunnkrets03013903,east
ward030111,grunnkrets03013917,east
ward030111,grunnkrets03013906,east
ward030111,grunnkrets03013921,east
ward030111,grunnkrets03014008,east
ward030111,grunnkrets03013907,east
